""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Lyse 13d-s.Lyse 13d-s1"	"Ua-10634"	"food remains"	"nd"	"Lyse 13d-s"	"Neolithic"	"Grübchenkeramik"	58.35	11.424	"14C"	5060	150	"Kiel DB 2013"	"neolithic"	"other"	0.05	"#3058e5"	5060
"Lyse 7.Lyse 7"	"St-4567"	"charcoal"	"nd"	"Lyse 7"	"Neolithic"	"nd"	58.3465	11.4258	"14C"	6330	180	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	6330
"Lyse 7.Lyse 71"	"St-4567"	"charcoal"	"nd"	"Lyse 7"	"Neolithic"	"nd"	58.3465	11.4258	"14C"	6330	180	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	6330
"Lystrup enge.Lystrup enge"	"K-6012"	"wood"	"nd"	"Lystrup enge"	"Meso/Neo"	"Ertebølle"	56.2858	10.2531	"14C"	7440	100	""	"other"	"other"	-0.05	"#990033"	6990
"Lystrup enge.Lystrup enge1"	"K-5730"	"wood"	"nd"	"Lystrup enge"	"Meso/Neo"	"Ertebølle"	56.2858	10.2531	"14C"	6990	140	""	"other"	"other"	0.05	"#3058e5"	7440
"Maadi.Maadi"	"KN-3899"	"shell"	"aspatharia"	"Maadi"	"Neolithic"	"nd"	29.9666	31.25	"14C"	6290	70	"Lovell 2001"	"neolithic"	"other"	-0.05	"#990033"	5040
"Maadi.Maadi1"	"KN-3863"	"bone"	"nd"	"Maadi"	"Bronze  Age"	"Maadi"	29.9666	31.25	"14C"	5040	180	"Rizkana & Seeher 1990"	"bronzeage"	"bone"	0.05	"#3058e5"	6290
"Maaleh Ramon East.Maaleh Ramon East"	"Pta-3371"	"charcoal"	"nd"	"Maaleh Ramon East"	"EP"	"Harifian"	30.56	34.68	"14C"	12420	170	"--"	"other"	"charcoal"	-0.05	"#990033"	12320
"Maaleh Ramon East.Maaleh Ramon East1"	"Pta-3483"	"charcoal"	"nd"	"Maaleh Ramon East"	"EP"	"Harifian"	30.56	34.68	"14C"	12320	160	"--"	"other"	"charcoal"	0.05	"#3058e5"	12420
"Maaleh Ramon W.Maaleh Ramon W"	"RT-1068N"	"charcoal"	"nd"	"Maaleh Ramon W"	"nd"	"nd"	30.5642	34.7114	"14C"	11610	330	"Byrd 1994:219"	"other"	"charcoal"	-0.05	"#990033"	11610
"Maaleh Ramon W.Maaleh Ramon W1"	"RT-1068N"	"charcoal"	"nd"	"Maaleh Ramon W"	"nd"	"nd"	30.5642	34.7114	"14C"	11610	330	"Byrd 1994:219"	"other"	"charcoal"	0.05	"#3058e5"	11610
"Maaleh Ramon West.Maaleh Ramon West"	"Pta-3687"	"charcoal"	"nd"	"Maaleh Ramon West"	"EP"	"Harifian"	30.56	34.71	"14C"	12270	180	"--"	"other"	"charcoal"	-0.05	"#990033"	11610
"Maaleh Ramon West.Maaleh Ramon West1"	"RT-1068N"	"charcoal"	"nd"	"Maaleh Ramon West"	"EP"	"Harifian"	30.56	34.71	"14C"	11610	330	"Goring-Morris 1991, 212"	"other"	"charcoal"	0.05	"#3058e5"	12270
"Maarheeze.Maarheeze"	"GrN-2446"	"charcoal"	"nd"	"Maarheeze"	"Epipalaeolithic"	"nd"	51.2878	5.64	"14C"	7120	140	"Groningen IV, 175"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7120
"Maarheeze.Maarheeze1"	"GrN-2446"	"charcoal"	"nd"	"Maarheeze"	"Epipalaeolithic"	"nd"	51.2878	5.64	"14C"	7120	140	"Groningen IV, 175"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	7120
"MacArthur Cave.MacArthur Cave"	"OxA-1949"	"antler "	"nd"	"MacArthur Cave"	"Epipalaeolithic"	"nd"	56.4173	-5.4713	"14C"	7570	70	"Ashmore, 2004"	"epipalaeolithic"	"other"	-0.05	"#990033"	7570
"MacArthur Cave.MacArthur Cave1"	"OxA-1949"	"antler "	"nd"	"MacArthur Cave"	"Epipalaeolithic"	"nd"	56.4173	-5.4713	"14C"	7570	70	"Ashmore, 2004"	"epipalaeolithic"	"other"	0.05	"#3058e5"	7570
"Machar.Machar"	"Le-1347"	"nd"	"nd"	"Machar"	"Chalcolithic"	"nd"	42.74	41.45	"14C"	6560	100	"Bzhanija et.al.1979, Chataigner 1995"	"chalcolithic"	"unknown"	-0.05	"#990033"	6560
"Machar.Machar1"	"Le-1347"	"nd"	"nd"	"Machar"	"Chalcolithic"	"nd"	42.74	41.45	"14C"	6560	100	"Bzhanija et.al.1979, Chataigner 1995"	"chalcolithic"	"unknown"	0.05	"#3058e5"	6560
