""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Aachen, Lousberg.Aachen, Lousberg"	"KN-3296"	"nd"	"nd"	"Aachen, Lousberg"	"Neolithic"	"Michelsberg"	50.7869	6.0792	"14C"	5580	230	"Breunig 1987, 185, 202"	"neolithic"	"unknown"	-0.05	"#990033"	2560
"Aachen, Lousberg.Aachen, Lousberg1"	"KN-3093"	"nd"	"nd"	"Aachen, Lousberg"	"Neolithic"	"Michelsberg"	50.7869	6.0792	"14C"	2560	460	"Breunig 1987, 185, 198"	"neolithic"	"unknown"	0.05	"#3058e5"	5580
"Abadah.Abadah"	"BM-1823"	"charcoal"	"nd"	"Abadah"	"PN"	"nd"	33.97	44.83	"14C"	6570	60	"Burleigh et al. 1982b"	"other"	"charcoal"	-0.05	"#990033"	6570
"Abadah.Abadah1"	"BM-1823"	"charcoal"	"nd"	"Abadah"	"PN"	"nd"	33.97	44.83	"14C"	6570	60	"Burleigh et al. 1982b"	"other"	"charcoal"	0.05	"#3058e5"	6570
"Abauntz.Abauntz"	"Ly-1964"	" nd"	"nd"	"Abauntz"	"nd"	"Azilian"	43.0167	-2.0417	"14C"	10850	410	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	"other"	"unknown"	-0.05	"#990033"	10850
"Abauntz.Abauntz1"	"Ly-1964"	" nd"	"nd"	"Abauntz"	"nd"	"Azilian"	43.0167	-2.0417	"14C"	10850	410	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	"other"	"unknown"	0.05	"#3058e5"	10850
"Abd el Aziz.Abd el Aziz"	"N-6239"	"charcoal"	"nd"	"Abd el Aziz"	"Chalcolithic"	"Chalc."	35.89	36.5	"14C"	8050	140	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	"chalcolithic"	"charcoal"	-0.05	"#990033"	7720
"Abd el Aziz.Abd el Aziz1"	"N-6238"	"charcoal"	"nd"	"Abd el Aziz"	"Chalcolithic"	"Chalc."	35.89	36.5	"14C"	7720	280	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	8050
"Abdul Hosein.Abdul Hosein"	"GX-6356"	"nd"	"nd"	"Abdul Hosein"	"Neolithic"	"Neo."	34.18	48.16	"14C"	10050	360	"Marshall 2012"	"neolithic"	"unknown"	-0.05	"#990033"	8330
"Abdul Hosein.Abdul Hosein1"	"GX-6358"	"nd"	"nd"	"Abdul Hosein"	"Neolithic"	"Neo."	34.18	48.16	"14C"	8330	290	"Marshall 2012"	"neolithic"	"unknown"	0.05	"#3058e5"	10050
"Abermawr I.Abermawr I"	"OxA-1411"	"peat"	"nd"	"Abermawr I"	"Epipalaeolithic"	"nd"	51.9691	-5.0823	"14C"	8450	150	"CBA Radiocarbon Index"	"epipalaeolithic"	"other"	-0.05	"#990033"	6300
"Abermawr I.Abermawr I1"	"OxA-1377"	"peat"	"nd"	"Abermawr I"	"Meso/Neo"	"nd"	51.9691	-5.0823	"14C"	6300	170	"CBA Radiocarbon Index"	"other"	"other"	0.05	"#3058e5"	8450
"Abingdon.Abingdon"	"BM-349"	"charcoal"	"nd"	"Abingdon"	"Epipalaeolithic"	"nd"	51.0667	-1.2833	"14C"	6890	150	"British Museum VII, 170"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	5100
"Abingdon.Abingdon1"	"BM-354"	"bone"	"nd"	"Abingdon"	"Neolithic"	"nd"	51.0667	-1.2833	"14C"	5100	190	"British Museum VII, 170"	"neolithic"	"bone"	0.05	"#3058e5"	6890
"Abric Agut.Abric Agut"	"OxA-10050"	"charcoal"	"nd"	"Abric Agut"	"Epipalaeolithic"	"nd"	41.5333	1.7	"14C"	11630	170	"Kiel DB 4093"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	10360
"Abric Agut.Abric Agut1"	"OxA-10049"	"charcoal"	"nd"	"Abric Agut"	"Epipalaeolithic"	"nd"	41.5333	1.7	"14C"	10360	90	"Kiel DB 4092"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	11630
"Abric del Filador.Abric del Filador"	"OxA-8660"	"charcoal"	"nd"	"Abric del Filador"	"Epipalaeolithic"	"nd"	41.28	0.75	"14C"	12870	80	"Kiel DB 4103"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	9120
"Abric del Filador.Abric del Filador1"	"AA--13411"	"charcoal"	"nd"	"Abric del Filador"	"Epipalaeolithic"	"nd"	41.28	0.75	"14C"	9120	120	"Kiel DB 4097"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	12870
"Abric Romani.Abric Romani"	"Arizona University Lab Geochemical isotopic"	"charcoal"	"nd"	"Abric Romani"	"nd"	"Epipalaeolithic"	41.5333	1.675	"14C"	10360	100	"see annex"	"other"	"charcoal"	-0.05	"#990033"	10360
"Abric Romani.Abric Romani1"	"Arizona University Lab Geochemical isotopic"	"charcoal"	"nd"	"Abric Romani"	"nd"	"Epipalaeolithic"	41.5333	1.675	"14C"	10360	100	"see annex"	"other"	"charcoal"	0.05	"#3058e5"	10360
"Abri de la Frau.Abri de la Frau"	"Ly-2913"	"bone"	"nd"	"Abri de la Frau"	"Epipalaeolithic"	"Sauveterrien"	45.45	5.78	"14C"	9650	270	"van Willigen 2006"	"epipalaeolithic"	"bone"	-0.05	"#990033"	8920
"Abri de la Frau.Abri de la Frau1"	"Ly-28"	"bone"	"nd"	"Abri de la Frau"	"Epipalaeolithic"	"Sauveterrien"	45.45	5.78	"14C"	8920	150	"van Willigen 2006"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	9650
"Abri de la Vessigne.Abri de la Vessigne"	"Ly-4745"	"bone"	"nd"	"Abri de la Vessigne"	"Neolithic"	"Epicardial"	44.32	4.6	"14C"	6620	90	"van Willigen 2006"	"neolithic"	"bone"	-0.05	"#990033"	6620
"Abri de la Vessigne.Abri de la Vessigne1"	"Ly-4745"	"bone"	"nd"	"Abri de la Vessigne"	"Neolithic"	"Epicardial"	44.32	4.6	"14C"	6620	90	"van Willigen 2006"	"neolithic"	"bone"	0.05	"#3058e5"	6620
"Abri de Pendimoun.Abri de Pendimoun"	"Ly-5338"	"charcoal"	"nd"	"Abri de Pendimoun"	"Neolithic"	"nd"	43.8	7.5	"14C"	9990	280	"van Willigen 2006"	"neolithic"	"charcoal"	-0.05	"#990033"	7040
"Abri de Pendimoun.Abri de Pendimoun1"	"Ly-5691"	"Acorns"	"nd"	"Abri de Pendimoun"	"Neolithic"	"Impressa"	43.8	7.5	"14C"	7040	160	"van Willigen 2006"	"neolithic"	"other"	0.05	"#3058e5"	9990
"Abri des Autours.Abri des Autours"	"OxA-4917"	"bone"	"human"	"Abri des Autours"	"Epipalaeolithic"	"nd"	50.25	4.9	"14C"	10850	170	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	"epipalaeolithic"	"bone"	-0.05	"#990033"	10290
"Abri des Autours.Abri des Autours1"	"OxA-5838"	"bone"	"human"	"Abri des Autours"	"Epipalaeolithic"	"nd"	50.25	4.9	"14C"	10290	90	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	"epipalaeolithic"	"bone"	0.05	"#3058e5"	10850
"Abri des Cabônes.Abri des Cabônes"	"Gif-8397"	"nd"	"nd"	"Abri des Cabônes"	"Epipalaeolithic"	"nd"	47.15	5.72	"14C"	8620	90	"Bosset 2010"	"epipalaeolithic"	"unknown"	-0.05	"#990033"	8620
"Abri des Cabônes.Abri des Cabônes1"	"Gif-8397"	"nd"	"nd"	"Abri des Cabônes"	"Epipalaeolithic"	"nd"	47.15	5.72	"14C"	8620	90	"Bosset 2010"	"epipalaeolithic"	"unknown"	0.05	"#3058e5"	8620
"Abri des Correardes.Abri des Correardes"	"Ly-7077"	"charcoal"	"nd"	"Abri des Correardes"	"Neolithic"	"nd"	44.66	5.71	"14C"	7370	60	"van Willigen 2006"	"neolithic"	"charcoal"	-0.05	"#990033"	7140
"Abri des Correardes.Abri des Correardes1"	"Ly-7076"	"charcoal"	"nd"	"Abri des Correardes"	"Neolithic"	"nd"	44.66	5.71	"14C"	7140	90	"van Willigen 2006"	"neolithic"	"charcoal"	0.05	"#3058e5"	7370
"Abri des Usclades.Abri des Usclades"	"Gif-8744"	"charcoal"	"nd"	"Abri des Usclades"	"Epipalaeolithic"	"Sauveterrien"	44.02	3.3	"14C"	9200	110	"van Willigen 2006"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	6350
"Abri des Usclades.Abri des Usclades1"	"Gif-9143"	"charcoal"	"nd"	"Abri des Usclades"	"Meso/Neo"	"pottery"	44.02	3.3	"14C"	6350	60	"van Willigen 2006"	"other"	"charcoal"	0.05	"#3058e5"	9200
"Abri du Chaveau.Abri du Chaveau"	"Lv-1615"	"bone"	"human"	"Abri du Chaveau"	"Palaeolithic"	"Palaeolithic"	50.35	4.8667	"14C"	8170	100	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	"palaeolithic"	"bone"	-0.05	"#990033"	4070
"Abri du Chaveau.Abri du Chaveau1"	"Lv-1919"	"bone"	"human"	"Abri du Chaveau"	"nd"	"nd"	50.6139	5.2319	"14C"	4070	120	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	"other"	"bone"	0.05	"#3058e5"	8170
"Abri du Pape.Abri du Pape"	"Lv-1747"	"bone"	"human"	"Abri du Pape"	"nd"	"nd"	50.8067	3.6786	"14C"	4720	90	"Gilot, 1997; Léotard, 1989"	"other"	"bone"	-0.05	"#990033"	4720
"Abri du Pape.Abri du Pape1"	"Lv-1747"	"bone"	"human"	"Abri du Pape"	"nd"	"nd"	50.8067	3.6786	"14C"	4720	90	"Gilot, 1997; Léotard, 1989"	"other"	"bone"	0.05	"#3058e5"	4720
"Abri du Roc de Dourgne.Abri du Roc de Dourgne"	"Mc-1108"	"shell"	"nd"	"Abri du Roc de Dourgne"	"Epipalaeolithic"	"Sauveterrien"	42.77	2.08	"14C"	9680	150	"van Willigen 2006"	"epipalaeolithic"	"other"	-0.05	"#990033"	4670
"Abri du Roc de Dourgne.Abri du Roc de Dourgne1"	"Mc-779"	" nd"	"nd"	"Abri du Roc de Dourgne"	"Neolithic"	"Epicardial"	42.77	2.08	"14C"	4670	150	"Linstädter 2004"	"neolithic"	"unknown"	0.05	"#3058e5"	9680
"Abrigo del Angel.Abrigo del Angel"	"GrN-15519"	"charcoal"	"nd"	"Abrigo del Angel"	"Epipalaeolithic"	"nd"	40.74	-0.39	"14C"	9110	280	"van Willigen 2006"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8960
"Abrigo del Angel.Abrigo del Angel1"	"GrN-15518"	"charcoal"	"nd"	"Abrigo del Angel"	"Epipalaeolithic"	"nd"	40.74	-0.39	"14C"	8960	330	"van Willigen 2006"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	9110
"Abri Lechat.Abri Lechat"	"Lv-1410"	"charcoal"	"nd"	"Abri Lechat"	"Epipalaeolithic"	"Mesolithic"	50.4333	5.5333	"14C"	8970	230	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	5460
"Abri Lechat.Abri Lechat1"	"Lv-1332"	"charcoal"	"nd"	"Abri Lechat"	"nd"	"nd"	50.113	4.7436	"14C"	5460	100	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	"other"	"charcoal"	0.05	"#3058e5"	8970
"Abri Loschbour.Abri Loschbour"	"Lv-1453"	"charcoal"	"hazelnut"	"Abri Loschbour"	"Epipalaeolithic"	"nd"	49.77	6.24	"14C"	9950	170	"Ziesaire 1989"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7930
"Abri Loschbour.Abri Loschbour1"	"GrN-7177"	"bone"	"Auerochs"	"Abri Loschbour"	"Epipalaeolithic"	"nd"	49.77	6.24	"14C"	7930	50	"Brou 2007"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	9950
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre"	"Mc-264"	"charcoal"	"nd"	"Abri No 2 de Saint Mitre"	"Neolithic"	"Cardial"	43.88	5.65	"14C"	7570	100	"van Willigen 2006"	"neolithic"	"charcoal"	-0.05	"#990033"	6810
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre1"	"Mc-202"	"charcoal"	"nd"	"Abri No 2 de Saint Mitre"	"Neolithic"	"Cardial"	43.88	5.65	"14C"	6810	250	"van Willigen 2006"	"neolithic"	"charcoal"	0.05	"#3058e5"	7570
"Abri Pataud.Abri Pataud"	"GrN-1860"	" nd"	"nd"	"Abri Pataud"	"nd"	"Gravettian final (ProtoMagdalenian\") / Périgordien VII\""	44.933	1.0167	"14C"	8970	230	"Movius H. L., 1975. Excavation of the Abri Pataud (Eyzies (Dordogne). Peabody Museum of Archaeology and Ethnology"	"other"	"unknown"	-0.05	"#990033"	8620
"Abri Pataud.Abri Pataud1"	"GrN-841"	"bone"	"nd"	"Abri Pataud"	"nd"	"Protomagdalenian"	44.933	1.0167	"14C"	8620	200	"zie Cambridge"	"other"	"bone"	0.05	"#3058e5"	8970
"Abri Ragout.Abri Ragout"	"GrN-4693"	"humic"	"nd"	"Abri Ragout"	"nd"	"Solutrean -Badegoulian"	45.6833	0.4167	"14C"	10830	190	"http://pageperso.aol.fr/vdujardin/14C.html"	"other"	"other"	-0.05	"#990033"	10830
"Abri Ragout.Abri Ragout1"	"GrN-4693"	"humic"	"nd"	"Abri Ragout"	"nd"	"Solutrean -Badegoulian"	45.6833	0.4167	"14C"	10830	190	"http://pageperso.aol.fr/vdujardin/14C.html"	"other"	"other"	0.05	"#3058e5"	10830
"Abri Rihane.Abri Rihane"	"Gif-6490"	"nd"	"nd"	"Abri Rihane"	"Neolithic"	"nd"	34.48	-1.87	"14C"	4320	130	"van Willigen 2009"	"neolithic"	"unknown"	-0.05	"#990033"	3770
"Abri Rihane.Abri Rihane1"	"Gif-6184"	"nd"	"nd"	"Abri Rihane"	"Neolithic"	"nd"	34.48	-1.87	"14C"	3770	120	"van Willigen 2008"	"neolithic"	"unknown"	0.05	"#3058e5"	4320
"Abtsbessingen.Abtsbessingen"	"Ki-4139"	"bone"	"nd"	"Abtsbessingen"	"Bronze  Age"	"Schnurkeramik"	51.25	10.7667	"14C"	4410	130	"Müller 1999, 79"	"bronzeage"	"bone"	-0.05	"#990033"	4410
"Abtsbessingen.Abtsbessingen1"	"Ki-4139"	"bone"	"nd"	"Abtsbessingen"	"Bronze  Age"	"Schnurkeramik"	51.25	10.7667	"14C"	4410	130	"Müller 1999, 79"	"bronzeage"	"bone"	0.05	"#3058e5"	4410
"Abtsdorf/Atersee.Abtsdorf/Atersee"	"VRI-731"	"wood"	"nd"	"Abtsdorf/Atersee"	"Neolithic"	"Mondseekultur"	47.9089	13.5119	"14C"	5410	130	"Stadler 1995"	"neolithic"	"other"	-0.05	"#990033"	3390
"Abtsdorf/Atersee.Abtsdorf/Atersee1"	"VRI-735"	"wood"	"nd"	"Abtsdorf/Atersee"	"nd"	"Bronzezeit"	47.9089	13.5119	"14C"	3390	120	"Stadler 1995"	"other"	"other"	0.05	"#3058e5"	5410
"Abu Gosh.Abu Gosh"	"RT-2453"	"charcoal"	"cratagus"	"Abu Gosh"	"nd"	"nd"	31.8053	35.1083	"14C"	10010	120	"Segal, Carmi 2003"	"other"	"charcoal"	-0.05	"#990033"	10010
"Abu Gosh.Abu Gosh1"	"RT-2453"	"charcoal"	"cratagus"	"Abu Gosh"	"nd"	"nd"	31.8053	35.1083	"14C"	10010	120	"Segal, Carmi 2003"	"other"	"charcoal"	0.05	"#3058e5"	10010
"Abu Hureyra.Abu Hureyra"	"OxA-883"	"seed"	"nd"	"Abu Hureyra"	"Epipalaeolithic"	"Natufian"	35.87	38.4	"14C"	13310	290	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994"	"epipalaeolithic"	"other"	-0.05	"#990033"	170
"Abu Hureyra.Abu Hureyra1"	"OxA-2045"	"bone"	"human"	"Abu Hureyra"	"Neolithic"	"PPN"	35.86	38.4	"14C"	170	100	"--"	"neolithic"	"bone"	0.05	"#3058e5"	13310
"Abu Khamis.Abu Khamis"	"UGa-2819"	"shell"	"nd"	"Abu Khamis"	"nd"	"Obeid 4 (?)"	27.5	49.22	"14C"	6550	80	"--"	"other"	"other"	-0.05	"#990033"	6130
"Abu Khamis.Abu Khamis1"	"GX-2819"	"charcoal"	"nd"	"Abu Khamis"	"PN"	"Obeid 4 (?)"	27.5	49.22	"14C"	6130	280	"Masry 1974, 141"	"other"	"charcoal"	0.05	"#3058e5"	6550
"Abu Madi I.Abu Madi I"	"Pta-2699"	"charcoal"	"nd"	"Abu Madi I"	"PPN"	"PPNA"	28.55	33.99	"14C"	11690	230	"--"	"neolithic"	"charcoal"	-0.05	"#990033"	9700
"Abu Madi I.Abu Madi I1"	"Pta-3635"	"charcoal"	"nd"	"Abu Madi I"	"Neolithic"	"PPN"	28.55	33.99	"14C"	9700	160	"--"	"neolithic"	"charcoal"	0.05	"#3058e5"	11690
"Abu Salabikh.Abu Salabikh"	"P-2050"	"charcoal"	"nd"	"Abu Salabikh"	"Neolithic"	"nd"	31	42.5	"14C"	5570	70	"RC 19,2, 1977, 188-228"	"neolithic"	"charcoal"	-0.05	"#990033"	4290
"Abu Salabikh.Abu Salabikh1"	"BM-1366"	"nd"	"nd"	"Abu Salabikh"	"Bronze  Age"	"ED IIIB"	30.76	46.11	"14C"	4290	100	"Iraq XXXIX, 1977, 275"	"bronzeage"	"unknown"	0.05	"#3058e5"	5570
"Abu Salem G 12.Abu Salem G 12"	"Pta-3080"	"charcoal"	"nd"	"Abu Salem G 12"	"EP"	"Harifian"	30.53	34.51	"14C"	13490	90	"Byrd 1994"	"other"	"charcoal"	-0.05	"#990033"	11540
"Abu Salem G 12.Abu Salem G 121"	"I-5498"	"charcoal"	"nd"	"Abu Salem G 12"	"EP"	"Harifian"	30.53	34.51	"14C"	11540	250	"Byrd 1994"	"other"	"charcoal"	0.05	"#3058e5"	13490
"Ã…by.Ã…by"	"Ua-7461"	"food remains"	"nd"	"Ã…by"	"Neolithic"	"Grübchenkeramik"	59.7077	16.5858	"14C"	5420	90	"Kiel DB 2013"	"neolithic"	"other"	-0.05	"#990033"	4200
"Ã…by.Ã…by1"	"Ua-7166"	"food remains"	"nd"	"Ã…by"	"Neolithic"	"Grübchenkeramik"	59.7077	16.5858	"14C"	4200	140	"Kiel DB 2013"	"neolithic"	"other"	0.05	"#3058e5"	5420
"Abydos.Abydos"	"Bln-4679"	"mat"	"nd"	"Abydos"	"nd"	"Naqada IB ?"	26.183	31.922	"14C"	5560	100	"Görsdorf ea. 1998"	"other"	"other"	-0.05	"#990033"	4770
"Abydos.Abydos1"	"Bln-4680"	"wood"	"nd"	"Abydos"	"nd"	"Naqada IIID / Qa-a"	26.183	31.922	"14C"	4770	80	"Görsdorf ea. 1998"	"other"	"other"	0.05	"#3058e5"	5560
"Achilleion.Achilleion"	"LJ-3180"	"charcoal"	"nd"	"Achilleion"	"Neolithic"	"Early Neolithic"	39.2833	22.3833	"14C"	8520	60	"Linick 1977"	"neolithic"	"charcoal"	-0.05	"#990033"	7490
"Achilleion.Achilleion1"	"LJ-2940"	"charcoal"	"nd"	"Achilleion"	"Neolithic"	"Neo. / Sesklo"	39.2833	22.3833	"14C"	7490	60	"Linick 1977"	"neolithic"	"charcoal"	0.05	"#3058e5"	8520
"Achmer.Achmer"	"GrN-12401"	"nd"	"nd"	"Achmer"	"Epipalaeolithic"	"Mesolithic"	52.3919	7.9389	"14C"	10640	350	"Kiel DB 2095"	"epipalaeolithic"	"unknown"	-0.05	"#990033"	7970
"Achmer.Achmer1"	"GrN-12407"	"nd"	"nd"	"Achmer"	"Epipalaeolithic"	"Mesolithic"	52.3919	7.9389	"14C"	7970	40	"Kiel DB 2097"	"epipalaeolithic"	"unknown"	0.05	"#3058e5"	10640
"adjacent to barrows excavated 1973-5.adjacent to barrows excavated 1973-5"	"HAR-7037"	"nd"	"nd"	"adjacent to barrows excavated 1973-5"	"Epipalaeolithic"	"nd"	50.9969	-0.8798	"14C"	10150	150	"CBA Radiocarbon Index"	"epipalaeolithic"	"unknown"	-0.05	"#990033"	9830
"adjacent to barrows excavated 1973-5.adjacent to barrows excavated 1973-51"	"HAR-7036"	"nd"	"nd"	"adjacent to barrows excavated 1973-5"	"Epipalaeolithic"	"nd"	50.9969	-0.8798	"14C"	9830	180	"CBA Radiocarbon Index"	"epipalaeolithic"	"unknown"	0.05	"#3058e5"	10150
"Aesch.Aesch"	"ETH-9648"	"bone"	"human"	"Aesch"	"nd"	"SK/GB"	47.468	7.594	"14C"	4430	120	"Ewald and Sedlmeier 1994, 132"	"other"	"bone"	-0.05	"#990033"	4230
"Aesch.Aesch1"	"ETH-9646"	"bone"	"human"	"Aesch"	"nd"	"SK/GB"	47.468	7.594	"14C"	4230	120	"Ewald and Sedlmeier 1994, 132"	"other"	"bone"	0.05	"#3058e5"	4430
"AgernÃ¦s.AgernÃ¦s"	"AAR-5967"	"bone"	"nd"	"AgernÃ¦s"	"Epipalaeolithic"	"nd"	55.6211	10.2914	"14C"	7130	90	"Kiel DB 3578"	"epipalaeolithic"	"bone"	-0.05	"#990033"	470
"AgernÃ¦s.AgernÃ¦s1"	"AAR-5965"	"bone"	"nd"	"AgernÃ¦s"	"Epipalaeolithic"	"nd"	55.6211	10.2914	"14C"	470	60	"Kiel DB 3576"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	7130
"Ageröds mosse.Ageröds mosse"	"Lu-1005"	"charcoal"	"pinus"	"Ageröds mosse"	"Epipalaeolithic"	"Late Maglomose"	55.9317	13.4085	"14C"	9300	120	"Lund datelist 9, pp.304-8 (Radiocarbon, 18 (1976): 290-320); "	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	4360
"Ageröds mosse.Ageröds mosse1"	"Lu-601"	"wood"	"nd"	"Ageröds mosse"	"Epipalaeolithic"	"Late Maglomose"	55.9322	13.4098	"14C"	4360	90	"Lund datelist 9, pp.304-8 (Radiocarbon, 18 (1976): 290-320); "	"epipalaeolithic"	"other"	0.05	"#3058e5"	9300
"Ageröd V.Ageröd V"	"Lu-1623"	"bone"	"Alces"	"Ageröd V"	"nd"	"nd"	55.9347	13.4188	"14C"	7710	70	"RC 22 No 4 (1980) 1062"	"other"	"bone"	-0.05	"#990033"	7440
"Ageröd V.Ageröd V1"	"Lu-697"	"charcoal"	"nd"	"Ageröd V"	"nd"	"nd"	55.9347	13.4188	"14C"	7440	80	""	"other"	"charcoal"	0.05	"#3058e5"	7710
"Aggersund.Aggersund"	"K-2640"	"shell"	"nd"	"Aggersund"	"nd"	"nd"	57	9.2999	"14C"	6230	120	""	"other"	"other"	-0.05	"#990033"	6170
"Aggersund.Aggersund1"	"K-2639"	"shell"	"nd"	"Aggersund"	"nd"	"nd"	57	9.2999	"14C"	6170	120	""	"other"	"other"	0.05	"#3058e5"	6230
"Aghios Ioannis.Aghios Ioannis"	"DEM-848"	"charcoal"	"nd"	"Aghios Ioannis"	"Neolithic"	"FN/EBA"	40.6297	24.7697	"14C"	5540	60	"Maniatis 2011"	"neolithic"	"charcoal"	-0.05	"#990033"	4660
"Aghios Ioannis.Aghios Ioannis1"	"DEM-931"	"bone"	"nd"	"Aghios Ioannis"	"Neolithic"	"FN/EBA"	40.6297	24.7697	"14C"	4660	110	"Maniatis 2011"	"neolithic"	"bone"	0.05	"#3058e5"	5540
"Ahlden.Ahlden"	"UtC--9258"	"food remains"	"nd"	"Ahlden"	"Neolithic"	"Bernburg"	52.7667	9.55	"14C"	4650	120	"Kiel DB 2100"	"neolithic"	"other"	-0.05	"#990033"	4650
"Ahlden.Ahlden1"	"UtC--9258"	"food remains"	"nd"	"Ahlden"	"Neolithic"	"Bernburg"	52.7667	9.55	"14C"	4650	120	"Kiel DB 2100"	"neolithic"	"other"	0.05	"#3058e5"	4650
"Ai.Ai"	"P-2303"	"charcoal"	"Quercus calliprinos"	"Ai"	"Bronze Age"	"Early Bronze Age"	31.9169	35.2611	"14C"	5190	110	"RC 19,2, 1977, 188-228"	"bronzeage"	"charcoal"	-0.05	"#990033"	4700
"Ai.Ai1"	"P-2298"	"charcoal"	"nd"	"Ai"	"Bronze Age"	"Early Bronze Age"	31.9169	35.2611	"14C"	4700	100	"RC 19,2, 1977, 188-228"	"bronzeage"	"charcoal"	0.05	"#3058e5"	5190
"Ain Abu Nukhayla.Ain Abu Nukhayla"	"A-11802"	"nd"	"nd"	"Ain Abu Nukhayla"	"Neolithic"	"MPPNB"	29.5486	35.4069	"14C"	9640	100	"Henry 2002"	"neolithic"	"unknown"	-0.05	"#990033"	5550
"Ain Abu Nukhayla.Ain Abu Nukhayla1"	"A-12281"	"charcoal"	"nd"	"Ain Abu Nukhayla"	"Chalcolithic"	"nd"	29.5486	35.4069	"14C"	5550	220	"Henry 2002, 16"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	9640
"Ain al Faidha.Ain al Faidha"	"Hv-12708"	"mollusc"	"Melanoides tuberculata"	"Ain al Faidha"	"nd"	"nd"	24.07	55.69	"14C"	11020	160	"--"	"other"	"other"	-0.05	"#990033"	6600
"Ain al Faidha.Ain al Faidha1"	"Hv-10917"	"mollusc"	"Melanoides tuberculata"	"Ain al Faidha"	"nd"	"nd"	24.07	55.69	"14C"	6600	120	"--"	"other"	"other"	0.05	"#3058e5"	11020
"Ain el-Kerkh.Ain el-Kerkh"	"GrA-22276"	"charcoal"	"nd"	"Ain el-Kerkh"	"Neolithic"	"MPPNB"	35.82	36.46	"14C"	10550	130	"Brami 2011"	"neolithic"	"charcoal"	-0.05	"#990033"	7780
"Ain el-Kerkh.Ain el-Kerkh1"	"NUT-2105"	"charcoal"	"nd"	"Ain el-Kerkh"	"Neolithic"	"nd"	35.82	36.46	"14C"	7780	60	"Brami 2011"	"neolithic"	"charcoal"	0.05	"#3058e5"	10550
"Ain Ghazal.Ain Ghazal"	"UCR-1723"	"charcoal"	"nd"	"Ain Ghazal"	"Neolithic"	"PPN"	31.93	35.93	"14C"	14070	870	"Rollefson et al. 1985, 111"	"neolithic"	"charcoal"	-0.05	"#990033"	3020
"Ain Ghazal.Ain Ghazal1"	"AA-5204"	"nd"	"nd"	"Ain Ghazal"	"Neolithic"	"Yarmukian"	31.93	35.93	"14C"	3020	130	"Rollefson et al. 1992, 445"	"neolithic"	"unknown"	0.05	"#3058e5"	14070
"Ain Jammam.Ain Jammam"	"nd"	"nd"	"nd"	"Ain Jammam"	"Neolithic"	"nd"	30.0203	35.4686	"14C"	9550	260	"Rollefson 2005,17"	"neolithic"	"unknown"	-0.05	"#990033"	8900
"Ain Jammam.Ain Jammam1"	"nd"	"nd"	"nd"	"Ain Jammam"	"Neolithic"	"nd"	30.0203	35.4686	"14C"	8900	190	"Rollefson 2005:17"	"neolithic"	"unknown"	0.05	"#3058e5"	9550
"Ain Rahub.Ain Rahub"	"GrN-14539"	"charcoal"	"nd"	"Ain Rahub"	"Neolithic"	"Yarmukian"	32.61	35.93	"14C"	8280	80	"Lovell 2000"	"neolithic"	"charcoal"	-0.05	"#990033"	8280
"Ain Rahub.Ain Rahub1"	"GrN-14539"	"charcoal"	"nd"	"Ain Rahub"	"Neolithic"	"Yarmukian"	32.61	35.93	"14C"	8280	80	"Lovell 2000"	"neolithic"	"charcoal"	0.05	"#3058e5"	8280
