""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"La Draga.La Draga1"	"GAK-15223"	"La Draga"	42.12	2.76	6530	"Hidalgo 2010"	0.05	"#3058e5"	7390
"La Fragua.La Fragua"	"GrN-20964"	"La Fragua"	43.4391	-3.5483	7700	"Gehlen 2010"	-0.05	"#FF3300"	7530
"La Fragua.La Fragua1"	"GrN-20963"	"La Fragua"	43.4391	-3.5483	7530	"Gehlen 2010"	0.05	"#3058e5"	7700
"Lafrouda.Lafrouda"	"GrA-27084"	"Lafrouda"	40.9984	25.0351	7290	"Ammermann 2008"	-0.05	"#FF3300"	6900
"Lafrouda.Lafrouda1"	"LTL-1415a"	"Lafrouda"	40.9984	25.0351	6900	"Ammermann 2008"	0.05	"#3058e5"	7290
"La Fru.La Fru"	"Ly-4328"	"La Fru"	45.51	5.7833	11230	"Pion G. e.a. 1990. Gallia Préhistoire 32: 62-123."	-0.05	"#FF3300"	9640
"La Fru.La Fru1"	"Ly-2913"	"La Fru"	45.51	5.7833	9640	"Pion G. e.a. 1990. Gallia Préhistoire 32: 62-123."	0.05	"#3058e5"	11230
"La Garenne-Grand abri"	"L-399D"	"La Garenne-Grand abri"	46.78	0.13	10890	""	0.05	"#3058e5"	10890
"La Garma A.La Garma A"	"OxA-7284"	"La Garma A"	43.3569	-3.7298	8480	"Gehlen 2010"	-0.05	"#FF3300"	7760
"La Garma A.La Garma A1"	"OxA-7150"	"La Garma A"	43.3569	-3.7298	7760	"Gehlen 2010"	0.05	"#3058e5"	8480
"La Garma B"	"OxA-7300"	"La Garma B"	43.3569	-3.7298	8000	"Gehlen 2010"	0.05	"#3058e5"	8000
"Lagazzi"	"R-667"	"Lagazzi"	45.1069	10.3902	3500	"Rome Datelist VIII"	0.05	"#3058e5"	3500
"Lageland I"	"GrN-22709"	"Lageland I"	53.2358	6.7122	9750	"Lanting/vanderPlicht 1997/1998"	0.05	"#3058e5"	9750
"La Girardière"	"Tuc-8436"	"La Girardière"	47.1167	-2.1	7420	""	0.05	"#3058e5"	7420
"Lago di Fimona"	"R-359A"	"Lago di Fimona"	45.4833	11.5258	5260	"Rome Datelist X"	0.05	"#3058e5"	5260
"Lago Lucone, piroga.Lago Lucone, piroga"	"R-375A"	"Lago Lucone, piroga"	45.564	10.5	3370	"Rome Datelist X"	-0.05	"#FF3300"	3370
"Lago Lucone, piroga.Lago Lucone, piroga1"	"R-375A"	"Lago Lucone, piroga"	45.564	10.5	3370	"Rome Datelist X"	0.05	"#3058e5"	3370
