""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Aachen, Lousberg.Aachen, Lousberg"	"KN-3305"	"Aachen, Lousberg"	50.7869	6.0792	5410	"Breunig 1987, 185, 204"	-0.05	"#FF3300"	2560
"Aachen, Lousberg.Aachen, Lousberg1"	"KN-3093"	"Aachen, Lousberg"	50.7869	6.0792	2560	"Breunig 1987, 185, 198"	0.05	"#3058e5"	5410
"Abadah"	"BM-1823"	"Abadah"	33.97	44.83	6570	"Burleigh et al. 1982b"	0.05	"#3058e5"	6570
"Abauntz"	"Ly-1964"	"Abauntz"	43.0167	-2.0417	10850	"Corchon Rodriguez S. 2002. Zephyrus 55:85-142."	0.05	"#3058e5"	10850
"Abd el Aziz.Abd el Aziz"	"N-6238"	"Abd el Aziz"	35.89	36.5	7720	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	-0.05	"#FF3300"	7720
"Abd el Aziz.Abd el Aziz1"	"N-6238"	"Abd el Aziz"	35.89	36.5	7720	"Iwasaki and Tsuneki (eds.) 2003, Appendix 1"	0.05	"#3058e5"	7720
"Abdul Hosein.Abdul Hosein"	"GX-6357"	"Abdul Hosein"	34.18	48.16	10030	"Marshall 2012"	-0.05	"#FF3300"	8330
"Abdul Hosein.Abdul Hosein1"	"GX-6358"	"Abdul Hosein"	34.18	48.16	8330	"Marshall 2012"	0.05	"#3058e5"	10030
"Abermawr I.Abermawr I"	"OxA-1377"	"Abermawr I"	51.9691	-5.0823	6300	"CBA Radiocarbon Index"	-0.05	"#FF3300"	6300
"Abermawr I.Abermawr I1"	"OxA-1377"	"Abermawr I"	51.9691	-5.0823	6300	"CBA Radiocarbon Index"	0.05	"#3058e5"	6300
"Abingdon.Abingdon"	"BM-351"	"Abingdon"	51.0667	-1.2833	5810	"British Museum VII, 170"	-0.05	"#FF3300"	5100
"Abingdon.Abingdon1"	"BM-354"	"Abingdon"	51.0667	-1.2833	5100	"British Museum VII, 170"	0.05	"#3058e5"	5810
"Abric Agut.Abric Agut"	"OxA-10074"	"Abric Agut"	41.5333	1.7	11590	"Kiel DB 4096"	-0.05	"#FF3300"	10360
"Abric Agut.Abric Agut1"	"OxA-10049"	"Abric Agut"	41.5333	1.7	10360	"Kiel DB 4092"	0.05	"#3058e5"	11590
"Abric del Filador.Abric del Filador"	"OxA-8659"	"Abric del Filador"	41.28	0.75	12770	"Kiel DB 4102"	-0.05	"#FF3300"	9120
"Abric del Filador.Abric del Filador1"	"AA--13411"	"Abric del Filador"	41.28	0.75	9120	"Kiel DB 4097"	0.05	"#3058e5"	12770
"Abric Romani"	"Arizona University Lab Geochemical isotopic"	"Abric Romani"	41.5333	1.675	10360	"see annex"	0.05	"#3058e5"	10360
"Abri de la Frau.Abri de la Frau"	"Ly-28"	"Abri de la Frau"	45.45	5.78	8920	"van Willigen 2006"	-0.05	"#FF3300"	8920
"Abri de la Frau.Abri de la Frau1"	"Ly-28"	"Abri de la Frau"	45.45	5.78	8920	"van Willigen 2006"	0.05	"#3058e5"	8920
"Abri de la Vessigne"	"Ly-4745"	"Abri de la Vessigne"	44.32	4.6	6620	"van Willigen 2006"	0.05	"#3058e5"	6620
"Abri de Pendimoun.Abri de Pendimoun"	"Ly-5692"	"Abri de Pendimoun"	43.8	7.5	7500	"van Willigen 2006"	-0.05	"#FF3300"	7040
"Abri de Pendimoun.Abri de Pendimoun1"	"Ly-5691"	"Abri de Pendimoun"	43.8	7.5	7040	"van Willigen 2006"	0.05	"#3058e5"	7500
"Abri des Autours.Abri des Autours"	"OxA-5838"	"Abri des Autours"	50.25	4.9	10290	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	-0.05	"#FF3300"	10290
"Abri des Autours.Abri des Autours1"	"OxA-5838"	"Abri des Autours"	50.25	4.9	10290	"Bronk Ramsey C. et al. 2002. Archaeometry 44: 1-149."	0.05	"#3058e5"	10290
"Abri des Cabônes"	"Gif-8397"	"Abri des Cabônes"	47.15	5.72	8620	"Bosset 2010"	0.05	"#3058e5"	8620
"Abri des Correardes.Abri des Correardes"	"Ly-7076"	"Abri des Correardes"	44.66	5.71	7140	"van Willigen 2006"	-0.05	"#FF3300"	7140
"Abri des Correardes.Abri des Correardes1"	"Ly-7076"	"Abri des Correardes"	44.66	5.71	7140	"van Willigen 2006"	0.05	"#3058e5"	7140
"Abri des Usclades.Abri des Usclades"	"Gif-9143"	"Abri des Usclades"	44.02	3.3	6350	"van Willigen 2006"	-0.05	"#FF3300"	6350
"Abri des Usclades.Abri des Usclades1"	"Gif-9143"	"Abri des Usclades"	44.02	3.3	6350	"van Willigen 2006"	0.05	"#3058e5"	6350
"Abri du Chaveau.Abri du Chaveau"	"Lv-1919"	"Abri du Chaveau"	50.6139	5.2319	4070	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	-0.05	"#FF3300"	4070
"Abri du Chaveau.Abri du Chaveau1"	"Lv-1919"	"Abri du Chaveau"	50.6139	5.2319	4070	"Gilot, 1997; Toussaint & Becker, 1988; Toussaint & Becker, 1993"	0.05	"#3058e5"	4070
"Abri du Pape"	"Lv-1747"	"Abri du Pape"	50.8067	3.6786	4720	"Gilot, 1997; Léotard, 1989"	0.05	"#3058e5"	4720
"Abri du Roc de Dourgne.Abri du Roc de Dourgne"	"Mc-1107"	"Abri du Roc de Dourgne"	42.77	2.08	7710	"van Willigen 2006"	-0.05	"#FF3300"	4670
"Abri du Roc de Dourgne.Abri du Roc de Dourgne1"	"Mc-779"	"Abri du Roc de Dourgne"	42.77	2.08	4670	"Linstädter 2004"	0.05	"#3058e5"	7710
"Abrigo del Angel.Abrigo del Angel"	"GrN-15520"	"Abrigo del Angel"	40.74	-0.39	9060	"van Willigen 2006"	-0.05	"#FF3300"	8960
"Abrigo del Angel.Abrigo del Angel1"	"GrN-15518"	"Abrigo del Angel"	40.74	-0.39	8960	"van Willigen 2006"	0.05	"#3058e5"	9060
"Abri Lechat.Abri Lechat"	"Lv-1408"	"Abri Lechat"	50.4333	5.5333	8790	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	-0.05	"#FF3300"	5460
"Abri Lechat.Abri Lechat1"	"Lv-1332"	"Abri Lechat"	50.113	4.7436	5460	"Gilot, 1997; Lausberg-Miny e.a., 1983, Lausberg e.a., 1984"	0.05	"#3058e5"	8790
"Abri Loschbour.Abri Loschbour"	"Beta-132067"	"Abri Loschbour"	49.77	6.24	8830	"Brou 2007"	-0.05	"#FF3300"	7930
"Abri Loschbour.Abri Loschbour1"	"GrN-7177"	"Abri Loschbour"	49.77	6.24	7930	"Brou 2007"	0.05	"#3058e5"	8830
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre"	"Mc-263"	"Abri No 2 de Saint Mitre"	43.88	5.65	7300	"van Willigen 2006"	-0.05	"#FF3300"	6810
"Abri No 2 de Saint Mitre.Abri No 2 de Saint Mitre1"	"Mc-202"	"Abri No 2 de Saint Mitre"	43.88	5.65	6810	"van Willigen 2006"	0.05	"#3058e5"	7300
"Abri Pataud.Abri Pataud"	"GrN-841"	"Abri Pataud"	44.933	1.0167	8620	"zie Cambridge"	-0.05	"#FF3300"	8620
"Abri Pataud.Abri Pataud1"	"GrN-841"	"Abri Pataud"	44.933	1.0167	8620	"zie Cambridge"	0.05	"#3058e5"	8620
"Abri Ragout"	"GrN-4693"	"Abri Ragout"	45.6833	0.4167	10830	"http://pageperso.aol.fr/vdujardin/14C.html"	0.05	"#3058e5"	10830
"Abri Rihane.Abri Rihane"	"Gif-6184"	"Abri Rihane"	34.48	-1.87	3770	"van Willigen 2008"	-0.05	"#FF3300"	3770
"Abri Rihane.Abri Rihane1"	"Gif-6184"	"Abri Rihane"	34.48	-1.87	3770	"van Willigen 2008"	0.05	"#3058e5"	3770
"Abtsbessingen"	"Ki-4139"	"Abtsbessingen"	51.25	10.7667	4410	"Müller 1999, 79"	0.05	"#3058e5"	4410
"Abtsdorf/Atersee.Abtsdorf/Atersee"	"VRI-735"	"Abtsdorf/Atersee"	47.9089	13.5119	3390	"Stadler 1995"	-0.05	"#FF3300"	3390
"Abtsdorf/Atersee.Abtsdorf/Atersee1"	"VRI-735"	"Abtsdorf/Atersee"	47.9089	13.5119	3390	"Stadler 1995"	0.05	"#3058e5"	3390
"Abu Gosh"	"RT-2453"	"Abu Gosh"	31.8053	35.1083	10010	"Segal, Carmi 2003"	0.05	"#3058e5"	10010
"Abu Hureyra.Abu Hureyra"	"BM-1718R"	"Abu Hureyra"	35.87	38.4	12980	"Burleigh et al. 1982b, Moore et al. 1986, Goring-Morris 1991, Schyle 1996, Henry (ed.) 1998b"	-0.05	"#FF3300"	170
"Abu Hureyra.Abu Hureyra1"	"OxA-2045"	"Abu Hureyra"	35.86	38.4	170	"--"	0.05	"#3058e5"	12980
"Abu Khamis.Abu Khamis"	"UGa-315"	"Abu Khamis"	27.5	49.22	6550	"Masry 1974, 140"	-0.05	"#FF3300"	6130
"Abu Khamis.Abu Khamis1"	"GX-2819"	"Abu Khamis"	27.5	49.22	6130	"Masry 1974, 141"	0.05	"#3058e5"	6550
"Abu Madi I.Abu Madi I"	"Pta-4568"	"Abu Madi I"	28.55	33.99	11510	"Goring-Morris 1991, 212"	-0.05	"#FF3300"	9700
"Abu Madi I.Abu Madi I1"	"Pta-3635"	"Abu Madi I"	28.55	33.99	9700	"--"	0.05	"#3058e5"	11510
"Abu Salabikh.Abu Salabikh"	"P-2053"	"Abu Salabikh"	31	42.5	5020	"RC 19,2, 1977, 188-228"	-0.05	"#FF3300"	4290
"Abu Salabikh.Abu Salabikh1"	"BM-1366"	"Abu Salabikh"	30.76	46.11	4290	"Iraq XXXIX, 1977, 275"	0.05	"#3058e5"	5020
"Abu Salem G 12.Abu Salem G 12"	"Pta-3292"	"Abu Salem G 12"	30.53	34.51	12470	"Byrd 1994"	-0.05	"#FF3300"	11540
"Abu Salem G 12.Abu Salem G 121"	"I-5498"	"Abu Salem G 12"	30.53	34.51	11540	"Byrd 1994"	0.05	"#3058e5"	12470
"Ã…by.Ã…by"	"Ua-7459"	"Ã…by"	59.7077	16.5858	5210	"Kiel DB 2013"	-0.05	"#FF3300"	4200
"Ã…by.Ã…by1"	"Ua-7166"	"Ã…by"	59.7077	16.5858	4200	"Kiel DB 2013"	0.05	"#3058e5"	5210
"Abydos.Abydos"	"Bln-4676"	"Abydos"	26.183	31.922	5530	"Görsdorf ea. 1998"	-0.05	"#FF3300"	4770
"Abydos.Abydos1"	"Bln-4680"	"Abydos"	26.183	31.922	4770	"Görsdorf ea. 1998"	0.05	"#3058e5"	5530
"Achilleion.Achilleion"	"LJ-4449"	"Achilleion"	39.2833	22.3833	8280	"Linick 1977"	-0.05	"#FF3300"	7490
"Achilleion.Achilleion1"	"LJ-2940"	"Achilleion"	39.2833	22.3833	7490	"Linick 1977"	0.05	"#3058e5"	8280
"Achmer.Achmer"	"GrN-12406"	"Achmer"	52.3919	7.9389	8850	"Kiel DB 2096"	-0.05	"#FF3300"	7970
"Achmer.Achmer1"	"GrN-12407"	"Achmer"	52.3919	7.9389	7970	"Kiel DB 2097"	0.05	"#3058e5"	8850
"adjacent to barrows excavated 1973-5.adjacent to barrows excavated 1973-5"	"HAR-7036"	"adjacent to barrows excavated 1973-5"	50.9969	-0.8798	9830	"CBA Radiocarbon Index"	-0.05	"#FF3300"	9830
"adjacent to barrows excavated 1973-5.adjacent to barrows excavated 1973-51"	"HAR-7036"	"adjacent to barrows excavated 1973-5"	50.9969	-0.8798	9830	"CBA Radiocarbon Index"	0.05	"#3058e5"	9830
"Aesch.Aesch"	"ETH-9643"	"Aesch"	47.468	7.594	4420	"Ewald and Sedlmeier 1994, 132"	-0.05	"#FF3300"	4230
"Aesch.Aesch1"	"ETH-9646"	"Aesch"	47.468	7.594	4230	"Ewald and Sedlmeier 1994, 132"	0.05	"#3058e5"	4420
"AgernÃ¦s.AgernÃ¦s"	"AAR-5966"	"AgernÃ¦s"	55.6211	10.2914	6480	"Kiel DB 3577"	-0.05	"#FF3300"	470
"AgernÃ¦s.AgernÃ¦s1"	"AAR-5965"	"AgernÃ¦s"	55.6211	10.2914	470	"Kiel DB 3576"	0.05	"#3058e5"	6480
"Ageröds mosse.Ageröds mosse"	"Lu-992"	"Ageröds mosse"	55.9317	13.4085	9220	"Lund datelist 9, pp.304-8 (Radiocarbon, 18 (1976): 290-320); "	-0.05	"#FF3300"	4360
"Ageröds mosse.Ageröds mosse1"	"Lu-601"	"Ageröds mosse"	55.9322	13.4098	4360	"Lund datelist 9, pp.304-8 (Radiocarbon, 18 (1976): 290-320); "	0.05	"#3058e5"	9220
"Ageröd V.Ageröd V"	"Lu-963"	"Ageröd V"	55.9347	13.4188	7660	""	-0.05	"#FF3300"	7440
"Ageröd V.Ageröd V1"	"Lu-697"	"Ageröd V"	55.9347	13.4188	7440	""	0.05	"#3058e5"	7660
"Aggersund.Aggersund"	"K-2638"	"Aggersund"	57	9.2999	6180	""	-0.05	"#FF3300"	6170
"Aggersund.Aggersund1"	"K-2639"	"Aggersund"	57	9.2999	6170	""	0.05	"#3058e5"	6180
"Aghios Ioannis.Aghios Ioannis"	"DEM-849"	"Aghios Ioannis"	40.6297	24.7697	5270	"Maniatis 2011"	-0.05	"#FF3300"	4660
"Aghios Ioannis.Aghios Ioannis1"	"DEM-931"	"Aghios Ioannis"	40.6297	24.7697	4660	"Maniatis 2011"	0.05	"#3058e5"	5270
"Ahlden"	"UtC--9258"	"Ahlden"	52.7667	9.55	4650	"Kiel DB 2100"	0.05	"#3058e5"	4650
"Ai.Ai"	"P-2304"	"Ai"	31.9169	35.2611	4960	"RC 19,2, 1977, 188-228"	-0.05	"#FF3300"	4700
"Ai.Ai1"	"P-2298"	"Ai"	31.9169	35.2611	4700	"RC 19,2, 1977, 188-228"	0.05	"#3058e5"	4960
"Ain Abu Nukhayla.Ain Abu Nukhayla"	"A-11806"	"Ain Abu Nukhayla"	29.5486	35.4069	9630	"Henry 2002"	-0.05	"#FF3300"	5550
"Ain Abu Nukhayla.Ain Abu Nukhayla1"	"A-12281"	"Ain Abu Nukhayla"	29.5486	35.4069	5550	"Henry 2002, 16"	0.05	"#3058e5"	9630
"Ain al Faidha.Ain al Faidha"	"Hv-12709"	"Ain al Faidha"	24.07	55.69	7770	"--"	-0.05	"#FF3300"	6600
"Ain al Faidha.Ain al Faidha1"	"Hv-10917"	"Ain al Faidha"	24.07	55.69	6600	"--"	0.05	"#3058e5"	7770
"Ain el-Kerkh.Ain el-Kerkh"	"GrA-22277"	"Ain el-Kerkh"	35.82	36.46	10550	"Tsuneki et al. 2006"	-0.05	"#FF3300"	7780
"Ain el-Kerkh.Ain el-Kerkh1"	"NUT-2105"	"Ain el-Kerkh"	35.82	36.46	7780	"Brami 2011"	0.05	"#3058e5"	10550
"Ain Ghazal.Ain Ghazal"	"UCR-1729"	"Ain Ghazal"	31.93	35.93	12500	"Rollefson et al. 1985, 111"	-0.05	"#FF3300"	3020
"Ain Ghazal.Ain Ghazal1"	"AA-5204"	"Ain Ghazal"	31.93	35.93	3020	"Rollefson et al. 1992, 445"	0.05	"#3058e5"	12500
"Ain Jammam"	"nd"	"Ain Jammam"	30.0203	35.4686	8900	"Rollefson 2005:17"	0.05	"#3058e5"	8900
"Ain Rahub"	"GrN-14539"	"Ain Rahub"	32.61	35.93	8280	"Lovell 2000"	0.05	"#3058e5"	8280
"Ais Giorkis.Ais Giorkis"	"Beta-220596"	"Ais Giorkis"	34.7717	32.4303	9590	"Simmons 2012"	-0.05	"#FF3300"	1480
"Ais Giorkis.Ais Giorkis1"	"Beta-213416"	"Ais Giorkis"	34.7717	32.4303	1480	"Simmons 2012"	0.05	"#3058e5"	9590
"Aix-les-Bains"	"Ly-190"	"Aix-les-Bains"	45.7	5.8833	4580	"Breunig 1987, 206"	0.05	"#3058e5"	4580
"Aizpea.Aizpea"	"GrN-16621"	"Aizpea"	42.8768	-1.2862	7990	"Gehlen 2010"	-0.05	"#FF3300"	7310
"Aizpea.Aizpea1"	"GrN-18421"	"Aizpea"	42.8768	-1.2862	7310	"Gehlen 2010"	0.05	"#3058e5"	7990
"Ajmana.Ajmana"	"AA-58323"	"Ajmana"	44.5937	22.7018	7890	"Borić  2011"	-0.05	"#FF3300"	7890
"Ajmana.Ajmana1"	"AA-58323"	"Ajmana"	44.5937	22.7018	7890	"Borić  2011"	0.05	"#3058e5"	7890
"Ajvide.Ajvide"	"Ua-34353"	"Ajvide"	57.2817	18.1575	5160	"Kiel DB 2013"	-0.05	"#FF3300"	3000
"Ajvide.Ajvide1"	"St-9247"	"Ajvide"	57.2817	18.1575	3000	"Kiel DB 2013"	0.05	"#3058e5"	5160
"Ajvide B"	"Ua-3251"	"Ajvide B"	57.2817	18.1575	5770	"Kiel DB 2013"	0.05	"#3058e5"	5770
"Ajvide D Ã¶vre.Ajvide D Ã¶vre"	"Ua-3541"	"Ajvide D Ã¶vre"	57.2817	18.1575	5110	"Kiel DB 2013"	-0.05	"#FF3300"	4520
"Ajvide D Ã¶vre.Ajvide D Ã¶vre1"	"Ua-3791"	"Ajvide D Ã¶vre"	57.2817	18.1575	4520	"Kiel DB 2013"	0.05	"#3058e5"	5110
"Akarcay Tepe.Akarcay Tepe"	"Beta-138584"	"Akarcay Tepe"	36.92	38.02	9740	"brami 2011, marion's database"	-0.05	"#FF3300"	8090
"Akarcay Tepe.Akarcay Tepe1"	"Beta-138585"	"Akarcay Tepe"	36.92	38.02	8090	"Arimura et al. 2000a, Balkan-Atlı et al. 2002, Thissen 2002a"	0.05	"#3058e5"	9740
"Aknashen-Khatunarkh.Aknashen-Khatunarkh"	"UGAMS-5805"	"Aknashen-Khatunarkh"	40.1015	44.2941	7800	"Badalyan 2010"	-0.05	"#FF3300"	7290
"Aknashen-Khatunarkh.Aknashen-Khatunarkh1"	"Ly-13664"	"Aknashen-Khatunarkh"	40.1015	44.2941	7290	"Badalyan 2010"	0.05	"#3058e5"	7800
"Akrotiri.Akrotiri"	"P-2561"	"Akrotiri"	36.3532	25.4223	4190	"Fishman 1978"	-0.05	"#FF3300"	3540
"Akrotiri.Akrotiri1"	"P-2565"	"Akrotiri"	36.3532	25.4223	3540	"Fishman 1978"	0.05	"#3058e5"	4190
"Akrotiri-Aetokremnos.Akrotiri-Aetokremnos"	"Beta-40380"	"Akrotiri-Aetokremnos"	34.5733	33	13590	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	-0.05	"#FF3300"	4040
"Akrotiri-Aetokremnos.Akrotiri-Aetokremnos1"	"Pta-3435"	"Akrotiri-Aetokremnos"	34.5733	33	4040	"Simmons 1991, 683"	0.05	"#3058e5"	13590
"Akrotiri-Aetokremnos?"	"UCLA-307"	"Akrotiri-Aetokremnos?"	34.5733	33	9780	"Peltenburg et al. 2000, 40"	0.05	"#3058e5"	9780
"Aktopraklik.Aktopraklik"	"OxA-20597"	"Aktopraklik"	40.1718	28.7277	7640	"Lillie 2013"	-0.05	"#FF3300"	7640
"Aktopraklik.Aktopraklik1"	"OxA-20597"	"Aktopraklik"	40.1718	28.7277	7640	"Lillie 2013"	0.05	"#3058e5"	7640
"Alaca Höyük"	"P-1434"	"Alaca Höyük"	40.14	35.03	4840	"Lawn 1971, 371"	0.05	"#3058e5"	4840
"Alanya"	"OxA-2233"	"Alanya"	36.5493	31.9999	5660	"Housley 1994, 66"	0.05	"#3058e5"	5660
"Alby.Alby"	"Ua-1523"	"Alby"	56.483	16.5667	7650	""	-0.05	"#FF3300"	2010
"Alby.Alby1"	"Ua-1201"	"Alby"	56.483	16.5667	2010	""	0.05	"#3058e5"	7650
"Aldenhoven.Aldenhoven"	"KN-1364"	"Aldenhoven"	50.8952	6.2828	6340	"Breunig 1987, 175"	-0.05	"#FF3300"	6340
"Aldenhoven.Aldenhoven1"	"KN-1364"	"Aldenhoven"	50.8952	6.2828	6340	"Breunig 1987, 175"	0.05	"#3058e5"	6340
"Åle.Åle"	"K-6049"	"Åle"	56.8831	9.2333	6480	""	-0.05	"#FF3300"	5890
"Åle.Åle1"	"K-5303"	"Åle"	56.8831	9.2333	5890	""	0.05	"#3058e5"	6480
"Algutsrum.Algutsrum"	"Ua-22424"	"Algutsrum"	56.6833	16.5167	3730	"Kiel DB 2013"	-0.05	"#FF3300"	3730
"Algutsrum.Algutsrum1"	"Ua-22423"	"Algutsrum"	56.6833	16.5167	3730	"Kiel DB 2013"	0.05	"#3058e5"	3730
"Ali Agha"	"P-1499"	"Ali Agha"	36.45	43.82	7770	"Lawn 1973, 372"	0.05	"#3058e5"	7770
"Alibeg"	"Bln-1193"	"Alibeg"	44.5937	22.7018	8030	"Borić  2011"	0.05	"#3058e5"	8030
"Ali Kosh.Ali Kosh"	"UCLA-750D"	"Ali Kosh"	32.55	47.32	11450	"Berger et al. 1965, 355"	-0.05	"#FF3300"	7920
"Ali Kosh.Ali Kosh1"	"Beta-137020"	"Ali Kosh"	32.55	47.32	7920	"Marshall 2012"	0.05	"#3058e5"	11450
"Alisar Höyük"	"C-183"	"Alisar Höyük"	39.51	35.11	5160	"Science 113, 1951, 112"	0.05	"#3058e5"	5160
"Ali Tappeh.Ali Tappeh"	"GX-696"	"Ali Tappeh"	36.68	53.55	13350	"McBurney 1968, 395-396"	-0.05	"#FF3300"	11950
"Ali Tappeh.Ali Tappeh1"	"GX-693"	"Ali Tappeh"	36.68	53.55	11950	"McBurney 1968, 395-396"	0.05	"#3058e5"	13350
"Aljmas.Aljmas"	"Z-3105"	"Aljmas"	45.5287	18.9475	4600	"Obelic 2011"	-0.05	"#FF3300"	4600
"Aljmas.Aljmas1"	"Z-3105"	"Aljmas"	45.5287	18.9475	4600	"Obelic 2011"	0.05	"#3058e5"	4600
"Alleshausen.Alleshausen"	"Hd-15016"	"Alleshausen"	48.1	9.6167	4800	"Schlichtherle 1999, 38 Abb. 4"	-0.05	"#FF3300"	4720
"Alleshausen.Alleshausen1"	"Hd-11751"	"Alleshausen"	48.1	9.6167	4720	"Müller 1991, 354"	0.05	"#3058e5"	4800
"al-Madar (Point 69)"	"Ly-3280"	"al-Madar (Point 69)"	25.52	55.54	6730	"--"	0.05	"#3058e5"	6730
"Al-Magass.Al-Magass"	"Bln-5120"	"Al-Magass"	29.57	35.02	6080	"Görsdorf 2002b"	-0.05	"#FF3300"	5600
"Al-Magass.Al-Magass1"	"Bln-5121"	"Al-Magass"	29.57	35.02	5600	"Görsdorf 2002b"	0.05	"#3058e5"	6080
"Almere-\"Hoge Vaart\".Almere-\"Hoge Vaart\""	"UtC-12480"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	7360	"Peeters 2007"	-0.05	"#FF3300"	6130
"Almere-\"Hoge Vaart\".Almere-\"Hoge Vaart\"1"	"UtC-5714"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6130	"Peeters 2007"	0.05	"#3058e5"	7360
"Almere-Hout \"Zwaanpad\".Almere-Hout \"Zwaanpad\""	"GrN-29008"	"Almere-Hout \"Zwaanpad\""	52.3219	5.2066	9100	"Niekus 2005/2006"	-0.05	"#FF3300"	8080
"Almere-Hout \"Zwaanpad\".Almere-Hout \"Zwaanpad\"1"	"UtC-12799"	"Almere-Hout \"Zwaanpad\""	52.3219	5.2066	8080	"Niekus 2005/2006"	0.05	"#3058e5"	9100
"Almere-Zenit .Almere-Zenit "	"UtC-13403"	"Almere-Zenit "	52.355	5.2296	9710	"Niekus 2005/2006"	-0.05	"#FF3300"	9710
"Almere-Zenit .Almere-Zenit 1"	"UtC-13403"	"Almere-Zenit "	52.355	5.2296	9710	"Niekus 2005/2006"	0.05	"#3058e5"	9710
"Al Qassimiya.Al Qassimiya"	"Ly-3954"	"Al Qassimiya"	25.37	55.4	6610	"--"	-0.05	"#FF3300"	6610
"Al Qassimiya.Al Qassimiya1"	"Ly-3954"	"Al Qassimiya"	25.37	55.4	6610	"--"	0.05	"#3058e5"	6610
"Alsleben"	"Bln-3690"	"Alsleben"	51.7	11.6667	5490	"Döhle et al. 1992, 54"	0.05	"#3058e5"	5490
"Altanagh.Altanagh"	"GrN-11447"	"Altanagh"	54.568	-7.0367	4200	"H623693"	-0.05	"#FF3300"	4200
"Altanagh.Altanagh1"	"GrN-11447"	"Altanagh"	54.568	-7.0367	4200	"H623693"	0.05	"#3058e5"	4200
"Alt Chrysal"	"GU-3922"	"Alt Chrysal"	56.9485	-7.5241	5540	"Ashmore, 2004"	0.05	"#3058e5"	5540
"Altenbochum"	"H-1748/1207"	"Altenbochum"	51.5	4.5839	6730	"Breunig 127"	0.05	"#3058e5"	6730
"Altendorf.Altendorf"	"UtC-3326"	"Altendorf"	51.2167	9.2	5140	"Raetzel-Fabian 2000a, 155"	-0.05	"#FF3300"	5140
"Altendorf.Altendorf1"	"UtC--3325"	"Altendorf"	51.2167	9.2	5140	"Raetzel-Fabian 2000a, 155"	0.05	"#3058e5"	5140
"Alton Longville"	"OxA-4606"	"Alton Longville"	52.5563	-0.2902	8850	"Oxford Date List 26"	0.05	"#3058e5"	8850
"Alvastra.Alvastra"	"Ua-14624"	"Alvastra"	58.3	14.65	8300	"Kiel DB 2013"	-0.05	"#FF3300"	1800
"Alvastra.Alvastra1"	"Ua-14626"	"Alvastra"	58.3	14.65	1800	"Kiel DB 2013"	0.05	"#3058e5"	8300
"Al Zèpe.Al Zèpe"	"Lv-1685"	"Al Zèpe"	50.2864	5.9152	7290	"Gilot, 1997; Cahen e.a., 1990"	-0.05	"#FF3300"	7070
"Al Zèpe.Al Zèpe1"	"Lv-1689"	"Al Zèpe"	50.7125	5.2814	7070	"Gilot, 1997; Cahen e.a., 1990"	0.05	"#3058e5"	7290
"Ã…mÃ¸lle.Ã…mÃ¸lle"	"AAR-7217"	"Ã…mÃ¸lle"	56.6824	10.1097	7400	"Kiel DB 3569"	-0.05	"#FF3300"	7300
"Ã…mÃ¸lle.Ã…mÃ¸lle1"	"AAR-7218"	"Ã…mÃ¸lle"	56.6824	10.1097	7300	"Kiel DB 3570"	0.05	"#3058e5"	7400
"Amersfoort.Amersfoort"	"GrN-19258"	"Amersfoort"	52.1566	5.3888	8940	"Lanting & van der Plicht 1997/1998"	-0.05	"#FF3300"	8940
"Amersfoort.Amersfoort1"	"GrN-19258"	"Amersfoort"	52.1566	5.3888	8940	"Lanting & van der Plicht 1997/1998"	0.05	"#3058e5"	8940
"Ä†mielow"	"H-566-492"	"Ä†mielow"	50.8914	21.5084	5470	"Kiel DB 3904"	0.05	"#3058e5"	5470
"Ammern"	"Hd-17332"	"Ammern"	51.2333	16.711	4720	"Raetzel-Fabian 2000a, 156"	0.05	"#3058e5"	4720
"Ammersbuch-Reusten"	"GrN-10974"	"Ammersbuch-Reusten"	48.5422	8.92	5610	"Kiel DB 2115"	0.05	"#3058e5"	5610
"Amosen.Amosen"	"K-570"	"Amosen"	55.55	11.627	9340	"Copenhagen datelist 7, pp.227-8 (Radiocarbon, 8 (1966): 213-34): Jørgensen 1956, 1961."	-0.05	"#FF3300"	9340
"Amosen.Amosen1"	"K-570"	"Amosen"	55.55	11.627	9340	"Copenhagen datelist 7, pp.227-8 (Radiocarbon, 8 (1966): 213-34): Jørgensen 1956, 1961."	0.05	"#3058e5"	9340
"Åmosen bog.Åmosen bog"	"K-1589 "	"Åmosen bog"	55.55	11.627	8170	"Copenhagen datelist 10, pp.89-90 (Radiocarbon, 15 (1973): 86-112): Jørgensen 1956, 1961.  * K-1589[a-b] averaged to form \"7350 +/-120 BP (K-1589)\"."	-0.05	"#FF3300"	7690
