""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"
"1"	"Beta-56415"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early Neolithic"	39.658	20.178	"14C"	7870	110	"Gehlen 2010"	"neolithic"	"charcoal"
"2"	"Beta-56416"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early Neolithic"	39.658	20.178	"14C"	7670	130	"Gehlen 2010"	"neolithic"	"charcoal"
"3"	"Beta-67802"	"charcoal"	"nd"	"Konispol"	"Neolithic"	"Early-Middle Neolithic"	39.658	20.178	"14C"	7690	80	"Gehlen 2010"	"neolithic"	"charcoal"
"4"	"Beta-67803"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8300	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"5"	"Beta-67804"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8440	140	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"6"	"Beta-79000"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8230	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"7"	"Beta-79999"	"nd"	"nd"	"Konispol"	"Epipalaeolithic?"	"nd"	39.658	20.178	"14C"	8230	90	"biagi 2002"	"other"	"unknown"
"8"	"Beta-80000"	"charcoal"	"nd"	"Konispol"	"Epipalaeolithic"	"nd"	39.658	20.178	"14C"	8340	90	"Gehlen 2010"	"epipalaeolithic"	"charcoal"
"9"	"Beta-80002"	"soil"	"nd"	"Konispol"	"Epipalaeolithic?"	"nd"	39.658	20.178	"14C"	7380	60	"Gehlen 2010"	"other"	"other"
"10"	"Mc-209"	"nd"	"nd"	"Ain Boucherit"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7670	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"11"	"Mc-210"	"nd"	"nd"	"Ain Boucherit"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7830	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"12"	"Mc-337"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8290	90	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"13"	"Mc-338"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8840	150	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"14"	"Mc-339"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9540	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"15"	"Mc-340"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7910	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"16"	"Mc-372"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8100	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"17"	"Mc-373"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8120	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"18"	"Mc-374"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8370	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"19"	"Mc-375"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8900	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"20"	"Mc-376"	"nd"	"nd"	"Ain Dokkara"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9310	150	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"21"	"I-7690"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8120	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"22"	"I-7691"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10490	180	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"23"	"I-9781"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8560	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"24"	"I-9782"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8450	110	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"25"	"I-9783"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8850	170	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"26"	"I-9784"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9040	210	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"27"	"I-9785"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10740	260	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"28"	"I-9786"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10940	210	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"29"	"I-9824"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	11230	310	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"30"	"I-9825"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10280	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"31"	"I-9826"	"nd"	"nd"	"Ain Misteheyia"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10920	210	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"32"	"Gif-1220"	"nd"	"nd"	"Ain Naga"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10340	290	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"33"	"SMU-1132"	"nd"	"nd"	"Aioun Berriche"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8200	390	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"34"	"SMU-1135"	"nd"	"nd"	"Aioun Berriche"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8670	290	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"35"	"Gif-4058"	"nd"	"nd"	"Bir Oum Ali 2"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9200	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"36"	"Gif-308"	"nd"	"nd"	"Columnata"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7720	270	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"37"	"Gif-309"	"nd"	"nd"	"Columnata"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7260	310	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"38"	"Mc-154"	"nd"	"nd"	"Columnata"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7670	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"39"	"Mc-625"	"nd"	"nd"	"Dra Mta el Ma el Abiod"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7880	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"40"	"Mc-626"	"nd"	"nd"	"Dra Mta el Ma el Abiod"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7880	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"41"	"Mc-627"	"nd"	"nd"	"Dra Mta el Ma el Abiod"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7840	180	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"42"	"Mc-628"	"nd"	"nd"	"Dra Mta el Ma el Abiod"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8120	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"43"	"Mc-629"	"nd"	"nd"	"Dra Mta el Ma el Abiod"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7900	110	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"44"	"UW-390"	"nd"	"nd"	"El Hassi"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8300	100	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"45"	"Mc-285"	"nd"	"nd"	"El Mermouta"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9360	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"46"	"Gif-1590"	"nd"	"nd"	"El Outed C"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8720	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"47"	"Gif-1591"	"nd"	"nd"	"El Outed C"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8720	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"48"	"Gif-1592"	"nd"	"nd"	"El Outed C"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8200	160	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"49"	"Gif-1593"	"nd"	"nd"	"El Outed C"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	7580	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"50"	"I-9838"	"nd"	"nd"	"Kef Zourah D"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7450	150	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"51"	"SMU-1108"	"nd"	"nd"	"Kef Zourah D"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	10250	200	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"52"	"SMU-1121"	"nd"	"nd"	"Kef Zourah D"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9330	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"53"	"SMU-704"	"nd"	"nd"	"Kef Zourah D"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9640	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"54"	"SMU-712"	"nd"	"nd"	"Kef Zourah D"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	10680	240	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"55"	"Mc-206"	"nd"	"nd"	"Koudiat Kifen Lahda"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8940	230	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"56"	"Gif-1454"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7430	410	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"57"	"Gif-1455"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8030	280	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"58"	"Gif-462?"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7470	290	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"59"	"Gif-462?"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7470	290	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"60"	"Gif-886"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8770	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"61"	"Gif-887"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9210	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"62"	"Gif-889"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9490	400	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"63"	"Mc-151"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7390	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"64"	"Mc-214"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8030	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"65"	"Mc-313"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8730	180	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"66"	"Mc-318"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	7850	110	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"67"	"Mc-319"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8370	160	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"68"	"Mc-320"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9210	160	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"69"	"Mc-321"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8120	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"70"	"Mc-322"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8410	140	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"71"	"Mc-323"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8120	120	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"72"	"Mc-325"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8730	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"73"	"Mc-326"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9590	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"74"	"Mc-327"	"nd"	"nd"	"Medjez II"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	9920	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"75"	"Mc-281"	"nd"	"nd"	"Rabah"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8820	250	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"76"	"Mc-283"	"nd"	"nd"	"Rabah"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	10380	130	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"77"	"Gif-306"	"nd"	"nd"	"Rafana"	"Epipalaeolithic"	"Capsien superieur"	0	0	"14C"	8300	310	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"78"	"Gif-1714"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8650	230	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"79"	"Gif-1715"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9090	260	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"80"	"Gif-1896"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8720	200	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"81"	"Gif-1897"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9320	170	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"82"	"Gif-1898"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	8820	190	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"83"	"Gif-1901"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9000	240	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"84"	"Gif-1902"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9300	170	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"85"	"Gif-2120"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9110	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"86"	"Gif-2121"	"nd"	"nd"	"Relilai"	"Epipalaeolithic"	"Capsien typique"	0	0	"14C"	9910	220	"Gehlen 2010"	"epipalaeolithic"	"unknown"
"87"	"Ly-2839"	"charcoal"	"nd"	"Margineda"	"Neolithic"	"Cardial"	42.46	1.49	"14C"	7550	90	"van Willigen 2006"	"neolithic"	"charcoal"
"88"	"Ly-2840"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	9330	170	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"89"	"Ly-2841"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	9560	540	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"90"	"Ly-2842"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	10470	200	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"91"	"Ly-2843"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	12410	330	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"92"	"Ly-3288"	"charcoal"	"nd"	"Margineda"	"Neolithic"	"Cardial"	42.46	1.49	"14C"	7520	140	"van Willigen 2006, Hidalgo 2010"	"neolithic"	"charcoal"
"93"	"Ly-3289"	"charcoal"	"nd"	"Margineda"	"Neolithic"	"Cardial"	42.46	1.49	"14C"	7720	130	"van Willigen 2006"	"neolithic"	"charcoal"
"94"	"Ly-3290"	"charcoal"	"nd"	"Margineda"	"Neolithic"	"nd"	42.46	1.49	"14C"	7690	150	"van Willigen 2006"	"neolithic"	"charcoal"
"95"	"Ly-3291"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	9130	250	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"96"	"Ly-3292"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	9130	440	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"97"	"Ly-3364"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	12440	240	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"98"	"Ly-3892"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	9920	200	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"99"	"Ly-3893"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	11220	330	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"100"	"Ly-3894"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	11420	180	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"101"	"Ly-4401"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	10040	180	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"102"	"Ly-4402"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	10020	180	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"103"	"nd"	"charcoal"	"nd"	"Margineda"	"Epipalaeolithic"	"nd"	42.46	1.49	"14C"	12670	300	"van Willigen 2006"	"epipalaeolithic"	"charcoal"
"104"	"OxA-3999"	"charcoal"	"nd"	"Sornas"	"Epipalaeolithic"	"nd"	47.5	-0.15	"14C"	9590	90	"Oxford Datelist"	"epipalaeolithic"	"charcoal"
"105"	"OxA-4000"	"charcoal"	"nd"	"Sornas"	"Epipalaeolithic"	"nd"	47.5	-0.15	"14C"	9410	90	"Oxford Datelist"	"epipalaeolithic"	"charcoal"
"106"	"OxA-4001"	"charcoal"	"nd"	"Sornas"	"Epipalaeolithic"	"nd"	47.5	-0.15	"14C"	9350	110	"Oxford Datelist"	"epipalaeolithic"	"charcoal"
"107"	"OxA-4002"	"charcoal"	"nd"	"Sornas"	"Epipalaeolithic"	"nd"	47.5	-0.15	"14C"	9140	110	"Oxford Datelist"	"epipalaeolithic"	"charcoal"
"108"	"AA-68559"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7700	50	"Badalyan 2010"	"neolithic"	"unknown"
"109"	"AA-68560"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7760	50	"Badalyan 2010"	"neolithic"	"unknown"
"110"	"AA-68561"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7860	70	"Badalyan 2010"	"neolithic"	"unknown"
"111"	"Ly-13664"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7290	80	"Badalyan 2010"	"neolithic"	"unknown"
"112"	"Ly-13665"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7760	60	"Badalyan 2010"	"neolithic"	"unknown"
"113"	"PoZ-22745"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7740	50	"Badalyan 2010"	"neolithic"	"unknown"
"114"	"PoZ-22746"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7350	50	"Badalyan 2010"	"neolithic"	"unknown"
"115"	"PoZ-22747"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7630	30	"Badalyan 2010"	"neolithic"	"unknown"
"116"	"UGAMS-2292"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7740	60	"Badalyan 2010"	"neolithic"	"unknown"
"117"	"UGAMS-2293"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7470	40	"Badalyan 2010"	"neolithic"	"unknown"
"118"	"UGAMS-2820"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7550	50	"Badalyan 2010"	"neolithic"	"unknown"
"119"	"UGAMS-2821"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7600	40	"Badalyan 2010"	"neolithic"	"unknown"
"120"	"UGAMS-4079"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7530	30	"Badalyan 2010"	"neolithic"	"unknown"
"121"	"UGAMS-4080"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7490	40	"Badalyan 2010"	"neolithic"	"unknown"
"122"	"UGAMS-4081"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7580	30	"Badalyan 2010"	"neolithic"	"unknown"
"123"	"UGAMS-4082"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7460	30	"Badalyan 2010"	"neolithic"	"unknown"
"124"	"UGAMS-5802"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7770	50	"Badalyan 2010"	"neolithic"	"unknown"
"125"	"UGAMS-5803"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7640	30	"Badalyan 2010"	"neolithic"	"unknown"
"126"	"UGAMS-5804"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7490	40	"Badalyan 2010"	"neolithic"	"unknown"
"127"	"UGAMS-5805"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7800	40	"Badalyan 2010"	"neolithic"	"unknown"
"128"	"OxA-18197"	"see"	"Prunus"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5820	60	"Areshian 2012"	"chalcolithic"	"other"
"129"	"OxA-18198"	"grass"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5830	60	"Areshian 2012"	"chalcolithic"	"other"
"130"	"OxA-18599"	"tooth"	"human"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	6080	70	"Areshian 2012"	"chalcolithic"	"other"
"131"	"OxA-18600"	"charcoal"	"Acer sp."	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5130	110	"Areshian 2012"	"chalcolithic"	"charcoal"
"132"	"OxA-18601"	"charcoal"	"Tamarix sp."	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5360	70	"Areshian 2012"	"chalcolithic"	"charcoal"
"133"	"OxA-19331"	"tooth"	"human"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	6160	90	"Areshian 2012"	"chalcolithic"	"other"
"134"	"OxA-19332"	"tooth"	"human"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	6100	70	"Areshian 2012"	"chalcolithic"	"other"
"135"	"OxA-20581"	"leather"	"shoe"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5460	100	"Areshian 2012"	"chalcolithic"	"other"
"136"	"OxA-20582"	"leather"	"shoe"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5450	100	"Areshian 2012"	"chalcolithic"	"other"
"137"	"OxA-20583"	"grass"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5540	50	"Areshian 2012"	"chalcolithic"	"other"
"138"	"UCIAMS-40181"	"charcoal"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	8260	50	"Areshian 2012"	"chalcolithic"	"charcoal"
"139"	"UCIAMS-40182"	"charcoal"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5970	30	"Areshian 2012"	"chalcolithic"	"charcoal"
"140"	"UCIAMS-40183"	"charcoal"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5830	60	"Areshian 2012"	"chalcolithic"	"charcoal"
"141"	"UCIAMS-48413"	"grape"	"vine"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5980	30	"Areshian 2012"	"chalcolithic"	"other"
"142"	"UCIAMS-65186"	"leather"	"shoe"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5440	90	"Areshian 2012"	"chalcolithic"	"other"
"143"	"UCIAMS-65186"	"organic residue"	"nd"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5830	60	"Areshian 2012"	"chalcolithic"	"other"
"144"	"UCIAMS-65187"	"brain tissue"	"human"	"Areni-1"	"Chalcolithic"	"nd"	39.7315	45.2037	"14C"	5970	30	"Areshian 2012"	"chalcolithic"	"other"
"145"	"VRI-731"	"wood"	"nd"	"Abtsdorf/Atersee"	"Neolithic"	"Mondseekultur"	47.9089	13.5119	"14C"	5410	130	"Stadler 1995"	"neolithic"	"other"
